"site","period_start","period_end","reference_period","parameter","data_value","lat","lon"
"Blenheim (Marlborough)","1995-01-01","1995-12-31","1991-2020","Very wet days",9,-41.52133,173.86439
"Blenheim (Marlborough)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",39.03028051272525,-41.52133,173.86439
"Christchurch (Canterbury)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",55.4,-43.493,172.537
"Christchurch (Canterbury)","1995-01-01","1995-12-31","1961-1990","Very wet days",2,-43.493,172.537
"Christchurch (Canterbury)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",13.587380915196004,-43.493,172.537
"Christchurch (Canterbury)","1995-01-01","1995-12-31","1991-2020","Very wet days",3,-43.493,172.537
"Christchurch (Canterbury)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",17.304388567858815,-43.493,172.537
"Dannevirke (Manawatū-Whanganui)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",87.1,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","1995-01-01","1995-12-31","1961-1990","Very wet days",9,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",27.175013630345042,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","1995-01-01","1995-12-31","1991-2020","Very wet days",9,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",27.175013630345042,-40.21,176.109
"Dunedin (Otago)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",21.6,-45.90129,170.5147
"Dunedin (Otago)","1995-01-01","1995-12-31","1961-1990","Very wet days",3,-45.90129,170.5147
"Dunedin (Otago)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",10.127591706539075,-45.90129,170.5147
"Dunedin (Otago)","1995-01-01","1995-12-31","1991-2020","Very wet days",3,-45.90129,170.5147
"Dunedin (Otago)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",10.127591706539075,-45.90129,170.5147
"Gisborne (Gisborne)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",42.2,-38.6586,177.9851
"Gisborne (Gisborne)","1995-01-01","1995-12-31","1961-1990","Very wet days",1,-38.6586,177.9851
"Gisborne (Gisborne)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",4.9740688354549745,-38.6586,177.9851
"Gisborne (Gisborne)","1995-01-01","1995-12-31","1991-2020","Very wet days",1,-38.6586,177.9851
"Gisborne (Gisborne)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",4.9740688354549745,-38.6586,177.9851
"Gore (Southland)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",32.8,-46.115,168.887
"Gore (Southland)","1995-01-01","1995-12-31","1961-1990","Very wet days",8,-46.115,168.887
"Gore (Southland)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",20.684088386641104,-46.115,168.887
"Gore (Southland)","1995-01-01","1995-12-31","1991-2020","Very wet days",8,-46.115,168.887
"Gore (Southland)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",20.684088386641104,-46.115,168.887
"Hamilton (Waikato)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",51,-37.86088,175.33175
"Hamilton (Waikato)","1995-01-01","1995-12-31","1961-1990","Very wet days",13,-37.86088,175.33175
"Hamilton (Waikato)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",31.782419967444387,-37.86088,175.33175
"Hamilton (Waikato)","1995-01-01","1995-12-31","1991-2020","Very wet days",13,-37.86088,175.33175
"Hamilton (Waikato)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",31.782419967444387,-37.86088,175.33175
"Hokitika (West Coast)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",79,-42.71228,170.98428
"Hokitika (West Coast)","1995-01-01","1995-12-31","1961-1990","Very wet days",15,-42.71228,170.98428
"Hokitika (West Coast)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",26.459045091340315,-42.71228,170.98428
"Hokitika (West Coast)","1995-01-01","1995-12-31","1991-2020","Very wet days",12,-42.71228,170.98428
"Hokitika (West Coast)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",22.07132168167829,-42.71228,170.98428
"Invercargill (Southland)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",26.9,-46.41741,168.33052
"Invercargill (Southland)","1995-01-01","1995-12-31","1961-1990","Very wet days",16,-46.41741,168.33052
"Invercargill (Southland)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",32.25413402959095,-46.41741,168.33052
"Invercargill (Southland)","1995-01-01","1995-12-31","1991-2020","Very wet days",16,-46.41741,168.33052
"Invercargill (Southland)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",32.25413402959095,-46.41741,168.33052
"Kerikeri (Northland)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",87.5,-35.183,173.926
"Kerikeri (Northland)","1995-01-01","1995-12-31","1961-1990","Very wet days",8,-35.183,173.926
"Kerikeri (Northland)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",31.59766028214245,-35.183,173.926
"Kerikeri (Northland)","1995-01-01","1995-12-31","1991-2020","Very wet days",7,-35.183,173.926
"Kerikeri (Northland)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",28.85652024314715,-35.183,173.926
"Lake Tekapo (Canterbury)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",50.8,-44.002,170.441
"Lake Tekapo (Canterbury)","1995-01-01","1995-12-31","1961-1990","Very wet days",6,-44.002,170.441
"Lake Tekapo (Canterbury)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",28.731942215088285,-44.002,170.441
"Lake Tekapo (Canterbury)","1995-01-01","1995-12-31","1991-2020","Very wet days",8,-44.002,170.441
"Lake Tekapo (Canterbury)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",35.15248796147672,-44.002,170.441
"Masterton (Wellington)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",38.4,-40.957,175.707
"Masterton (Wellington)","1995-01-01","1995-12-31","1961-1990","Very wet days",7,-40.957,175.707
"Masterton (Wellington)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",21.765162434859743,-40.957,175.707
"Masterton (Wellington)","1995-01-01","1995-12-31","1991-2020","Very wet days",7,-40.957,175.707
"Masterton (Wellington)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",21.765162434859743,-40.957,175.707
"Milford Sound (Southland)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",270.8,-44.67384,167.92406
"Milford Sound (Southland)","1995-01-01","1995-12-31","1961-1990","Very wet days",17,-44.67384,167.92406
"Milford Sound (Southland)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",33.766124627085176,-44.67384,167.92406
"Milford Sound (Southland)","1995-01-01","1995-12-31","1991-2020","Very wet days",16,-44.67384,167.92406
"Milford Sound (Southland)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",32.217039931649786,-44.67384,167.92406
"Napier (Hawke's Bay)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",39,-39.49846,176.91189
"Napier (Hawke's Bay)","1995-01-01","1995-12-31","1961-1990","Very wet days",2,-39.49846,176.91189
"Napier (Hawke's Bay)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",10.81343697945586,-39.49846,176.91189
"Napier (Hawke's Bay)","1995-01-01","1995-12-31","1991-2020","Very wet days",2,-39.49846,176.91189
"Napier (Hawke's Bay)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",10.81343697945586,-39.49846,176.91189
"Nelson (Nelson)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",97.6,-41.299,173.226
"Nelson (Nelson)","1995-01-01","1995-12-31","1961-1990","Very wet days",12,-41.299,173.226
"Nelson (Nelson)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",43.11926605504588,-41.299,173.226
"Nelson (Nelson)","1995-01-01","1995-12-31","1991-2020","Very wet days",11,-41.299,173.226
"Nelson (Nelson)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",40.84685956245589,-41.299,173.226
"New Plymouth (Taranaki)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",99,-39.0079,174.18382
"New Plymouth (Taranaki)","1995-01-01","1995-12-31","1961-1990","Very wet days",8,-39.0079,174.18382
"New Plymouth (Taranaki)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",24.800647174390384,-39.0079,174.18382
"New Plymouth (Taranaki)","1995-01-01","1995-12-31","1991-2020","Very wet days",10,-39.0079,174.18382
"New Plymouth (Taranaki)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",28.556569975730962,-39.0079,174.18382
"Queenstown (Otago)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",58.8,-45.01758,168.74005
"Queenstown (Otago)","1995-01-01","1995-12-31","1961-1990","Very wet days",9,-45.01758,168.74005
"Queenstown (Otago)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",34.87853799866281,-45.01758,168.74005
"Queenstown (Otago)","1995-01-01","1995-12-31","1991-2020","Very wet days",8,-45.01758,168.74005
"Queenstown (Otago)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",32.44929797191888,-45.01758,168.74005
"Reefton (West Coast)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",96.5,-42.11578,171.86014
"Reefton (West Coast)","1995-01-01","1995-12-31","1961-1990","Very wet days",19,-42.11578,171.86014
"Reefton (West Coast)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",36.605821410952146,-42.11578,171.86014
"Reefton (West Coast)","1995-01-01","1995-12-31","1991-2020","Very wet days",21,-42.11578,171.86014
"Reefton (West Coast)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",39.322714779054195,-42.11578,171.86014
"Rotorua (Bay of Plenty)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",114.8,-38.10595,176.31485
"Rotorua (Bay of Plenty)","1995-01-01","1995-12-31","1961-1990","Very wet days",9,-38.10595,176.31485
"Rotorua (Bay of Plenty)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",33.196857364169524,-38.10595,176.31485
"Rotorua (Bay of Plenty)","1995-01-01","1995-12-31","1991-2020","Very wet days",10,-38.10595,176.31485
"Rotorua (Bay of Plenty)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",35.49850614141861,-38.10595,176.31485
"Tara Hills (Canterbury)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",59.8,-44.52612,169.88948
"Tara Hills (Canterbury)","1995-01-01","1995-12-31","1961-1990","Very wet days",3,-44.52612,169.88948
"Tara Hills (Canterbury)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",24.39357704133926,-44.52612,169.88948
"Tara Hills (Canterbury)","1995-01-01","1995-12-31","1991-2020","Very wet days",5,-44.52612,169.88948
"Tara Hills (Canterbury)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",32.217287324906046,-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",70.9,-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)","1995-01-01","1995-12-31","1961-1990","Very wet days",14,-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",26.885691012761338,-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)","1995-01-01","1995-12-31","1991-2020","Very wet days",11,-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",22.318761878903068,-38.88784,175.25981
"Taupō (Waikato)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",89,-38.74263,176.08104
"Taupō (Waikato)","1995-01-01","1995-12-31","1961-1990","Very wet days",12,-38.74263,176.08104
"Taupō (Waikato)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",37.268722466960355,-38.74263,176.08104
"Taupō (Waikato)","1995-01-01","1995-12-31","1991-2020","Very wet days",11,-38.74263,176.08104
"Taupō (Waikato)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",35.34508076358296,-38.74263,176.08104
"Tauranga (Bay of Plenty)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",120,-37.673,176.196
"Tauranga (Bay of Plenty)","1995-01-01","1995-12-31","1961-1990","Very wet days",11,-37.673,176.196
"Tauranga (Bay of Plenty)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",38.91730073593613,-37.673,176.196
"Tauranga (Bay of Plenty)","1995-01-01","1995-12-31","1991-2020","Very wet days",11,-37.673,176.196
"Tauranga (Bay of Plenty)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",38.91730073593613,-37.673,176.196
"Timaru (Canterbury)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",45,-44.30517,171.22141
"Timaru (Canterbury)","1995-01-01","1995-12-31","1961-1990","Very wet days",6,-44.30517,171.22141
"Timaru (Canterbury)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",24.74964234620887,-44.30517,171.22141
"Timaru (Canterbury)","1995-01-01","1995-12-31","1991-2020","Very wet days",5,-44.30517,171.22141
"Timaru (Canterbury)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",21.57367668097282,-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",47.5,-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)","1995-01-01","1995-12-31","1961-1990","Very wet days",10,-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",25.941882074674776,-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)","1995-01-01","1995-12-31","1991-2020","Very wet days",7,-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",20.324379118094274,-39.46249,175.66283
"Wellington (Wellington)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",55.6,-41.285,174.768
"Wellington (Wellington)","1995-01-01","1995-12-31","1961-1990","Very wet days",9,-41.285,174.768
"Wellington (Wellington)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",27.037617554858933,-41.285,174.768
"Wellington (Wellington)","1995-01-01","1995-12-31","1991-2020","Very wet days",9,-41.285,174.768
"Wellington (Wellington)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",27.037617554858933,-41.285,174.768
"Whanganui (Manawatū-Whanganui)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",44.2,-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)","1995-01-01","1995-12-31","1961-1990","Very wet days",9,-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",23.869063124077446,-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)","1995-01-01","1995-12-31","1991-2020","Very wet days",7,-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",19.76209082226274,-39.93704,175.04509
"Whangaparāoa (Auckland)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",117.4,-36.606,174.835
"Whangaparāoa (Auckland)","1995-01-01","1995-12-31","1961-1990","Very wet days",4,-36.606,174.835
"Whangaparāoa (Auckland)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",22.353430353430355,-36.606,174.835
"Whangaparāoa (Auckland)","1995-01-01","1995-12-31","1991-2020","Very wet days",4,-36.606,174.835
"Whangaparāoa (Auckland)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",22.353430353430355,-36.606,174.835
"Whangārei (Northland)","1995-01-01","1995-12-31",NA,"Maximum one-day rainfall",225,-35.769,174.364
"Whangārei (Northland)","1995-01-01","1995-12-31","1961-1990","Very wet days",4,-35.769,174.364
"Whangārei (Northland)","1995-01-01","1995-12-31","1961-1990","Rainfall due to very wet days",25.69732118199392,-35.769,174.364
"Whangārei (Northland)","1995-01-01","1995-12-31","1991-2020","Very wet days",6,-35.769,174.364
"Whangārei (Northland)","1995-01-01","1995-12-31","1991-2020","Rainfall due to very wet days",30.723557028445182,-35.769,174.364
"Auckland (Auckland)","1994-01-01","1994-12-31",NA,"Maximum one-day rainfall",56,-37.00813,174.78873
"Auckland (Auckland)","1994-01-01","1994-12-31","1961-1990","Very wet days",2,-37.00813,174.78873
"Auckland (Auckland)","1994-01-01","1994-12-31","1961-1990","Rainfall due to very wet days",8.549147973428322,-37.00813,174.78873
"Auckland (Auckland)","1994-01-01","1994-12-31","1991-2020","Very wet days",2,-37.00813,174.78873
"Auckland (Auckland)","1994-01-01","1994-12-31","1991-2020","Rainfall due to very wet days",8.549147973428322,-37.00813,174.78873
"Blenheim (Marlborough)","1994-01-01","1994-12-31",NA,"Maximum one-day rainfall",60,-41.52133,173.86439
"Blenheim (Marlborough)","1994-01-01","1994-12-31","1961-1990","Very wet days",5,-41.52133,173.86439
"Blenheim (Marlborough)","1994-01-01","1994-12-31","1961-1990","Rainfall due to very wet days",26.640522875817,-41.52133,173.86439
"Blenheim (Marlborough)","1994-01-01","1994-12-31","1991-2020","Very wet days",6,-41.52133,173.86439
"Blenheim (Marlborough)","1994-01-01","1994-12-31","1991-2020","Rainfall due to very wet days",30.274509803921568,-41.52133,173.86439
"Christchurch (Canterbury)","1994-01-01","1994-12-31",NA,"Maximum one-day rainfall",63.8,-43.493,172.537
"Christchurch (Canterbury)","1994-01-01","1994-12-31","1961-1990","Very wet days",4,-43.493,172.537
"Christchurch (Canterbury)","1994-01-01","1994-12-31","1961-1990","Rainfall due to very wet days",25.824262501971916,-43.493,172.537
"Christchurch (Canterbury)","1994-01-01","1994-12-31","1991-2020","Very wet days",5,-43.493,172.537
"Christchurch (Canterbury)","1994-01-01","1994-12-31","1991-2020","Rainfall due to very wet days",29.626123994320874,-43.493,172.537
"Dannevirke (Manawatū-Whanganui)","1994-01-01","1994-12-31",NA,"Maximum one-day rainfall",51.4,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","1994-01-01","1994-12-31","1961-1990","Very wet days",2,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","1994-01-01","1994-12-31","1961-1990","Rainfall due to very wet days",9.729848451570392,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","1994-01-01","1994-12-31","1991-2020","Very wet days",2,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","1994-01-01","1994-12-31","1991-2020","Rainfall due to very wet days",9.729848451570392,-40.21,176.109
"Dunedin (Otago)","1994-01-01","1994-12-31",NA,"Maximum one-day rainfall",40,-45.90129,170.5147
"Dunedin (Otago)","1994-01-01","1994-12-31","1961-1990","Very wet days",9,-45.90129,170.5147
"Dunedin (Otago)","1994-01-01","1994-12-31","1961-1990","Rainfall due to very wet days",33.7997256515775,-45.90129,170.5147
"Dunedin (Otago)","1994-01-01","1994-12-31","1991-2020","Very wet days",9,-45.90129,170.5147
"Dunedin (Otago)","1994-01-01","1994-12-31","1991-2020","Rainfall due to very wet days",33.7997256515775,-45.90129,170.5147
"Gisborne (Gisborne)","1994-01-01","1994-12-31",NA,"Maximum one-day rainfall",64.6,-38.6586,177.9851
"Gisborne (Gisborne)","1994-01-01","1994-12-31","1961-1990","Very wet days",5,-38.6586,177.9851
"Gisborne (Gisborne)","1994-01-01","1994-12-31","1961-1990","Rainfall due to very wet days",34.936931651510704,-38.6586,177.9851
"Gisborne (Gisborne)","1994-01-01","1994-12-31","1991-2020","Very wet days",5,-38.6586,177.9851
"Gisborne (Gisborne)","1994-01-01","1994-12-31","1991-2020","Rainfall due to very wet days",34.936931651510704,-38.6586,177.9851
"Gore (Southland)","1994-01-01","1994-12-31",NA,"Maximum one-day rainfall",37.8,-46.115,168.887
"Gore (Southland)","1994-01-01","1994-12-31","1961-1990","Very wet days",6,-46.115,168.887
"Gore (Southland)","1994-01-01","1994-12-31","1961-1990","Rainfall due to very wet days",19.423801282703856,-46.115,168.887
"Gore (Southland)","1994-01-01","1994-12-31","1991-2020","Very wet days",6,-46.115,168.887
"Gore (Southland)","1994-01-01","1994-12-31","1991-2020","Rainfall due to very wet days",19.423801282703856,-46.115,168.887
"Hamilton (Waikato)","1994-01-01","1994-12-31",NA,"Maximum one-day rainfall",45,-37.86088,175.33175
"Hamilton (Waikato)","1994-01-01","1994-12-31","1961-1990","Very wet days",3,-37.86088,175.33175
"Hamilton (Waikato)","1994-01-01","1994-12-31","1961-1990","Rainfall due to very wet days",8.895311496467565,-37.86088,175.33175
"Hamilton (Waikato)","1994-01-01","1994-12-31","1991-2020","Very wet days",3,-37.86088,175.33175
"Hamilton (Waikato)","1994-01-01","1994-12-31","1991-2020","Rainfall due to very wet days",8.895311496467565,-37.86088,175.33175
"Hokitika (West Coast)","1994-01-01","1994-12-31",NA,"Maximum one-day rainfall",101.8,-42.71228,170.98428
"Hokitika (West Coast)","1994-01-01","1994-12-31","1961-1990","Very wet days",10,-42.71228,170.98428
"Hokitika (West Coast)","1994-01-01","1994-12-31","1961-1990","Rainfall due to very wet days",22.03164135569576,-42.71228,170.98428
"Hokitika (West Coast)","1994-01-01","1994-12-31","1991-2020","Very wet days",9,-42.71228,170.98428
"Hokitika (West Coast)","1994-01-01","1994-12-31","1991-2020","Rainfall due to very wet days",20.382993563932658,-42.71228,170.98428
"Invercargill (Southland)","1994-01-01","1994-12-31",NA,"Maximum one-day rainfall",42.4,-46.41741,168.33052
"Invercargill (Southland)","1994-01-01","1994-12-31","1961-1990","Very wet days",11,-46.41741,168.33052
"Invercargill (Southland)","1994-01-01","1994-12-31","1961-1990","Rainfall due to very wet days",24.74045679603897,-46.41741,168.33052
"Invercargill (Southland)","1994-01-01","1994-12-31","1991-2020","Very wet days",11,-46.41741,168.33052
"Invercargill (Southland)","1994-01-01","1994-12-31","1991-2020","Rainfall due to very wet days",24.74045679603897,-46.41741,168.33052
"Kerikeri (Northland)","1994-01-01","1994-12-31",NA,"Maximum one-day rainfall",57.6,-35.183,173.926
"Kerikeri (Northland)","1994-01-01","1994-12-31","1961-1990","Very wet days",2,-35.183,173.926
"Kerikeri (Northland)","1994-01-01","1994-12-31","1961-1990","Rainfall due to very wet days",9.612306597901476,-35.183,173.926
"Kerikeri (Northland)","1994-01-01","1994-12-31","1991-2020","Very wet days",2,-35.183,173.926
"Kerikeri (Northland)","1994-01-01","1994-12-31","1991-2020","Rainfall due to very wet days",9.612306597901476,-35.183,173.926
"Lake Tekapo (Canterbury)","1994-01-01","1994-12-31",NA,"Maximum one-day rainfall",116.2,-44.002,170.441
"Lake Tekapo (Canterbury)","1994-01-01","1994-12-31","1961-1990","Very wet days",8,-44.002,170.441
"Lake Tekapo (Canterbury)","1994-01-01","1994-12-31","1961-1990","Rainfall due to very wet days",39.05906831580164,-44.002,170.441
"Lake Tekapo (Canterbury)","1994-01-01","1994-12-31","1991-2020","Very wet days",10,-44.002,170.441
"Lake Tekapo (Canterbury)","1994-01-01","1994-12-31","1991-2020","Rainfall due to very wet days",44.51508496127615,-44.002,170.441
"Masterton (Wellington)","1994-01-01","1994-12-31",NA,"Maximum one-day rainfall",72.7,-40.957,175.707
"Masterton (Wellington)","1994-01-01","1994-12-31","1961-1990","Very wet days",1,-40.957,175.707
"Masterton (Wellington)","1994-01-01","1994-12-31","1961-1990","Rainfall due to very wet days",11.817295188556566,-40.957,175.707
"Masterton (Wellington)","1994-01-01","1994-12-31","1991-2020","Very wet days",1,-40.957,175.707
"Masterton (Wellington)","1994-01-01","1994-12-31","1991-2020","Rainfall due to very wet days",11.817295188556566,-40.957,175.707
"Milford Sound (Southland)","1994-01-01","1994-12-31",NA,"Maximum one-day rainfall",484.9,-44.67384,167.92406
"Milford Sound (Southland)","1994-01-01","1994-12-31","1961-1990","Very wet days",11,-44.67384,167.92406
"Milford Sound (Southland)","1994-01-01","1994-12-31","1961-1990","Rainfall due to very wet days",29.5255212077642,-44.67384,167.92406
"Milford Sound (Southland)","1994-01-01","1994-12-31","1991-2020","Very wet days",10,-44.67384,167.92406
"Milford Sound (Southland)","1994-01-01","1994-12-31","1991-2020","Rainfall due to very wet days",27.988497483824588,-44.67384,167.92406
"Napier (Hawke's Bay)","1994-01-01","1994-12-31",NA,"Maximum one-day rainfall",30,-39.49846,176.91189
"Napier (Hawke's Bay)","1994-01-01","1994-12-31","1961-1990","Very wet days",2,-39.49846,176.91189
"Napier (Hawke's Bay)","1994-01-01","1994-12-31","1961-1990","Rainfall due to very wet days",14.526943133846537,-39.49846,176.91189
"Napier (Hawke's Bay)","1994-01-01","1994-12-31","1991-2020","Very wet days",1,-39.49846,176.91189
"Napier (Hawke's Bay)","1994-01-01","1994-12-31","1991-2020","Rainfall due to very wet days",7.449714427613609,-39.49846,176.91189
"Nelson (Nelson)","1994-01-01","1994-12-31",NA,"Maximum one-day rainfall",53.4,-41.299,173.226
"Nelson (Nelson)","1994-01-01","1994-12-31","1961-1990","Very wet days",6,-41.299,173.226
"Nelson (Nelson)","1994-01-01","1994-12-31","1961-1990","Rainfall due to very wet days",30.06460544531611,-41.299,173.226
"Nelson (Nelson)","1994-01-01","1994-12-31","1991-2020","Very wet days",6,-41.299,173.226
"Nelson (Nelson)","1994-01-01","1994-12-31","1991-2020","Rainfall due to very wet days",30.06460544531611,-41.299,173.226
"New Plymouth (Taranaki)","1994-01-01","1994-12-31",NA,"Maximum one-day rainfall",54.8,-39.0079,174.18382
"New Plymouth (Taranaki)","1994-01-01","1994-12-31","1961-1990","Very wet days",6,-39.0079,174.18382
"New Plymouth (Taranaki)","1994-01-01","1994-12-31","1961-1990","Rainfall due to very wet days",18.36680053547523,-39.0079,174.18382
"New Plymouth (Taranaki)","1994-01-01","1994-12-31","1991-2020","Very wet days",7,-39.0079,174.18382
"New Plymouth (Taranaki)","1994-01-01","1994-12-31","1991-2020","Rainfall due to very wet days",20.575635876840696,-39.0079,174.18382
"Queenstown (Otago)","1994-01-01","1994-12-31",NA,"Maximum one-day rainfall",63,-45.01758,168.74005
"Queenstown (Otago)","1994-01-01","1994-12-31","1961-1990","Very wet days",12,-45.01758,168.74005
"Queenstown (Otago)","1994-01-01","1994-12-31","1961-1990","Rainfall due to very wet days",38.89618922470433,-45.01758,168.74005
"Queenstown (Otago)","1994-01-01","1994-12-31","1991-2020","Very wet days",11,-45.01758,168.74005
"Queenstown (Otago)","1994-01-01","1994-12-31","1991-2020","Rainfall due to very wet days",36.83123709404918,-45.01758,168.74005
"Reefton (West Coast)","1994-01-01","1994-12-31",NA,"Maximum one-day rainfall",98.2,-42.11578,171.86014
"Reefton (West Coast)","1994-01-01","1994-12-31","1961-1990","Very wet days",12,-42.11578,171.86014
"Reefton (West Coast)","1994-01-01","1994-12-31","1961-1990","Rainfall due to very wet days",28.154835616985572,-42.11578,171.86014
"Reefton (West Coast)","1994-01-01","1994-12-31","1991-2020","Very wet days",14,-42.11578,171.86014
"Reefton (West Coast)","1994-01-01","1994-12-31","1991-2020","Rainfall due to very wet days",31.21080174170095,-42.11578,171.86014
"Rotorua (Bay of Plenty)","1994-01-01","1994-12-31",NA,"Maximum one-day rainfall",117.6,-38.10595,176.31485
"Rotorua (Bay of Plenty)","1994-01-01","1994-12-31","1961-1990","Very wet days",2,-38.10595,176.31485
