"rate_C_year","location","lat","long","spatial_extent","method_LSWT","method_LSWT_standard","method_trend","aggregation_mean_min_max_etc","annual_seasonal_data","temporal_aggregation","n_lakes","n_years","min_year","max_year","paper_source","citation","citation_short","journal","other.notes.","link","comment.from.Whitney","comment.on.comparing.studies","reviewer.1","n_reviewers","all_reviewers"
"0.023","global",0,-108.8,"global","Lakes_cci, GLTC, FLake model","modelled","Thiel-sen","mean","seasonal (ice; <=1deg C excluded)","summer","1260",43,1979,2022,"Scopus","Wang, X., Shi, K., Qin, B., Zhang, Y., & Woolway, R. I. (2024). Disproportionate impact of atmospheric heat events on lake surface water temperature increases. Nature Climate Change, 14(11), 1172-1177.","Wang et al. 2024b","Nature Climate Change","","","",NA,"MP",2,"OR, MP"
"0.03283","Patagonia Icefield",-48,-73,"region","MOD11A2 and MYD11A2","satellite","? (assuming linear regression)","?","seasonal","annual","6",20,2002,2022,"Scopus","Zhao, S., Sun, H., Cheng, J., & Zhang, G. (2025). Water Surface Temperature Dynamics of the Three Largest Ice-Contact Lakes in the Patagonia Icefield over the Last 20 Years [Article]. Water (Switzerland), 17(3), Article 385. https://doi.org/10.3390/w17030385 ","Zhao et al. 2025","Water (Switzerland)","","","",NA,"MP",2,"MS, MP"
"0.03183","Patagonia Icefield",-48,-73,"region","MOD11A2 and MYD11A2","satellite","? (assuming linear regression)","?","seasonal","autumn","6",20,2002,2022,"Scopus","Zhao, S., Sun, H., Cheng, J., & Zhang, G. (2025). Water Surface Temperature Dynamics of the Three Largest Ice-Contact Lakes in the Patagonia Icefield over the Last 20 Years [Article]. Water (Switzerland), 17(3), Article 385. https://doi.org/10.3390/w17030385 ","Zhao et al. 2025","Water (Switzerland)","","","",NA,"MP",2,"MS, MP"
"0.026","Patagonia Icefield",-48,-73,"region","MOD11A2 and MYD11A2","satellite","? (assuming linear regression)","?","seasonal","winter","6",20,2002,2022,"Scopus","Zhao, S., Sun, H., Cheng, J., & Zhang, G. (2025). Water Surface Temperature Dynamics of the Three Largest Ice-Contact Lakes in the Patagonia Icefield over the Last 20 Years [Article]. Water (Switzerland), 17(3), Article 385. https://doi.org/10.3390/w17030385 ","Zhao et al. 2025","Water (Switzerland)","","","",NA,"MP",2,"MS, MP"
"0.04033","Patagonia Icefield",-48,-73,"region","MOD11A2 and MYD11A2","satellite","? (assuming linear regression)","?","seasonal","spring","6",20,2002,2022,"Scopus","Zhao, S., Sun, H., Cheng, J., & Zhang, G. (2025). Water Surface Temperature Dynamics of the Three Largest Ice-Contact Lakes in the Patagonia Icefield over the Last 20 Years [Article]. Water (Switzerland), 17(3), Article 385. https://doi.org/10.3390/w17030385 ","Zhao et al. 2025","Water (Switzerland)","","","",NA,"MP",2,"MS, MP"
"0.02538","Patagonia Icefield",-48,-73,"region","MOD11A2 and MYD11A2","satellite","? (assuming linear regression)","?","seasonal","summer","6",20,2002,2022,"Scopus","Zhao, S., Sun, H., Cheng, J., & Zhang, G. (2025). Water Surface Temperature Dynamics of the Three Largest Ice-Contact Lakes in the Patagonia Icefield over the Last 20 Years [Article]. Water (Switzerland), 17(3), Article 385. https://doi.org/10.3390/w17030385 ","Zhao et al. 2025","Water (Switzerland)","","","",NA,"MP",2,"MS, MP"
"0.05","Poland",53,23,"point","Observed","modelled","Mann-Kendal and Sen and Air2water","","annual and monthly","annual","2",69,1954,2023,"google scholar","Ptak, M., Amnuaylojaroen, T., & Sojka, M. (2024). Seven Decades of Surface Temperature Changes in Central European Lakes: What Is Next?. Resources, 13(11), 149.","Ptak et al., 2024","Resources","The MannKendall and Sen tests were performed using the modified mk R package developed by Patakamuri and OBrien;Central Europe, Studzieniczne and Bia?e Augustowskie","https://www.mdpi.com/2079-9276/13/11/149","",NA,"CB",2,"WW, CB"
"does not state","Global",0,-108.8,"global","In situ, stellite (MacCallum and merchant)","sallite and in situ","?","mean","Season averages (warm) (jan-march SH, Jan-Sep NH) without ice , midmorning","summer","688",20,1996,2015,"google scholar","Woolway, R. I., Carrea, L., Merchant, C. J., Dokulil, M. T., de Eyto, E., DeGasperi, C. L., ... & Weyhenmeyer, G. A. (2018). Lake surface temperature [in State of the Climate in 2017]. Bulletin of the American Meteorological Society, 99(8), S13-15.","Woolway et al., 2018","Bulletin of the American Meteorological Society","Talk to WW about this","https://www.diva-portal.org/smash/get/diva2:1270184/FULLTEXT01.pdf","",NA,"CB",2,"MA, CB"
"0.041","Finland Lake Konnevesi ",62,26,"point","Direct measurmnet/observations, GAM model","modelled","sen slope, Mann-Kendal","mean","Seasonal (summer; Jul-Sep) open water (ice free)","summer","1",37,1984,2021,"google scholar","Noori, R., Woolway, R. I., Jun, C., Bateni, S. M., Naderian, D., Partani, S., ... & Pulkkanen, M. (2023). Multi-decadal change in summer mean water temperature in Lake Konnevesi, Finland (19842021). Ecological Informatics, 78, 102331.","Noori et al., 2023","Ecological Informatics"," LSWT (0.41 °C decade) and LVWMT (0.32 °C decade?1)","https://www.sciencedirect.com/science/article/pii/S1574954123003606","",NA,"CB",2,"MA, CB"
"0.043","Greece",38,30,"region","ERA-5 land (skin temp), GAM, ","modelled","GAM","mean","annual and monthly","annual","18",39,1981,2020,"google scholar","Stefanidis, K., Varlas, G., Papadopoulos, A., & Dimitriou, E. (2021). Four decades of surface temperature, precipitation, and wind speed trends over lakes of Greece. Sustainability, 13(17), 9908.","Stefanidis et al., 2021","MDPI Sustainability","","http://mdpi.com/2071-1050/13/17/9908","",NA,"CB",2,"WW, CB"
"0.035","Poland",53,17,"region","Air2Water with validation of observed (70%) and modelled (30%) data","modelled","Mann-kendal and sen's slope","mean","annual and monthly","annual","6",29,1994,2023,"google scholar","Ptak, M., Sojka, M., Szyga-Pluta, K., Baloch, M. Y. J., & Amnuaylojaroen, T. (2025). Is Everything Lost? Recreating the Surface Water Temperature of Unmonitored Lakes in Poland [Article]. Resources, 14(4), Article 67. https://doi.org/10.3390/resources14040067 ","Ptak et al., 2025","MDPI Resources","","https://www.mdpi.com/2079-9276/14/4/67","",NA,"CB",3,"MA, MP, CB"
